"variable","level","count","share"
"rate2_4b_code",1,8656,0.2404
"rate2_4b_code",2,9472,0.2631
"rate2_4b_code",3,8800,0.2444
"rate2_4b_code",4,9072,0.252
"rate2_5a_code",1,8576,0.2382
"rate2_5a_code",2,8992,0.2498
"rate2_5a_code",3,9296,0.2582
"rate2_5a_code",4,9136,0.2538
"rate2_5b_code",1,9088,0.2524
"rate2_5b_code",2,9408,0.2613
"rate2_5b_code",3,8416,0.2338
"rate2_5b_code",4,9088,0.2524
"rate2_6a_code",1,9216,0.256
"rate2_6a_code",2,9040,0.2511
"rate2_6a_code",3,8784,0.244
"rate2_6a_code",4,8960,0.2489
"rate2_6b_code",1,8816,0.2449
"rate2_6b_code",2,9056,0.2516
"rate2_6b_code",3,9232,0.2564
"rate2_6b_code",4,8896,0.2471
"rate2_7a_code",1,8672,0.2409
"rate2_7a_code",2,8704,0.2418
"rate2_7a_code",3,9072,0.252
"rate2_7a_code",4,9552,0.2653
"rate2_7b_code",1,9408,0.2613
"rate2_7b_code",2,8992,0.2498
"rate2_7b_code",3,8400,0.2333
"rate2_7b_code",4,9200,0.2556
"rate2_8a_code",1,9136,0.2538
"rate2_8a_code",2,9184,0.2551
"rate2_8a_code",3,8976,0.2493
"rate2_8a_code",4,8704,0.2418
"rate2_8b_code",1,9136,0.2538
"rate2_8b_code",2,8688,0.2413
"rate2_8b_code",3,9184,0.2551
"rate2_8b_code",4,8992,0.2498
"rate3_1a_code",1,8848,0.2458
"rate3_1a_code",2,9504,0.264
"rate3_1a_code",3,9360,0.26
"rate3_1a_code",4,8288,0.2302
"rate3_1b_code",1,9024,0.2507
"rate3_1b_code",2,9328,0.2591
"rate3_1b_code",3,8704,0.2418
"rate3_1b_code",4,8944,0.2484
"rate3_2a_code",1,9024,0.2507
"rate3_2a_code",2,9392,0.2609
"rate3_2a_code",3,8912,0.2476
"rate3_2a_code",4,8672,0.2409
"rate3_2b_code",1,9360,0.26
"rate3_2b_code",2,8912,0.2476
"rate3_2b_code",3,8832,0.2453
"rate3_2b_code",4,8896,0.2471
"rate3_3a_code",1,9200,0.2556
"rate3_3a_code",2,9072,0.252
"rate3_3a_code",3,8544,0.2373
"rate3_3a_code",4,9184,0.2551
"rate3_3b_code",1,9520,0.2644
"rate3_3b_code",2,8848,0.2458
"rate3_3b_code",3,8992,0.2498
"rate3_3b_code",4,8640,0.24
"rate3_4a_code",1,8912,0.2476
"rate3_4a_code",2,8480,0.2356
"rate3_4a_code",3,9280,0.2578
"rate3_4a_code",4,9328,0.2591
"rate3_4b_code",1,9024,0.2507
"rate3_4b_code",2,8976,0.2493
"rate3_4b_code",3,9376,0.2604
"rate3_4b_code",4,8624,0.2396
"rate3_5a_code",1,8736,0.2427
"rate3_5a_code",2,8896,0.2471
"rate3_5a_code",3,9456,0.2627
"rate3_5a_code",4,8912,0.2476
"rate3_5b_code",1,9024,0.2507
"rate3_5b_code",2,9440,0.2622
"rate3_5b_code",3,8672,0.2409
"rate3_5b_code",4,8864,0.2462
"rate3_6a_code",1,9216,0.256
"rate3_6a_code",2,8864,0.2462
"rate3_6a_code",3,9248,0.2569
"rate3_6a_code",4,8672,0.2409
"rate3_6b_code",1,8928,0.248
"rate3_6b_code",2,9136,0.2538
"rate3_6b_code",3,9136,0.2538
"rate3_6b_code",4,8800,0.2444
"rate3_7a_code",1,8896,0.2471
"rate3_7a_code",2,8592,0.2387
"rate3_7a_code",3,9088,0.2524
"rate3_7a_code",4,9424,0.2618
"rate3_7b_code",1,9152,0.2542
"rate3_7b_code",2,9424,0.2618
"rate3_7b_code",3,8976,0.2493
"rate3_7b_code",4,8448,0.2347
"rate3_8a_code",1,8912,0.2476
"rate3_8a_code",2,9440,0.2622
"rate3_8a_code",3,8640,0.24
"rate3_8a_code",4,9008,0.2502
"rate3_8b_code",1,8928,0.248
"rate3_8b_code",2,9200,0.2556
"rate3_8b_code",3,8944,0.2484
"rate3_8b_code",4,8928,0.248
"rate4_1a_code",1,9328,0.2591
"rate4_1a_code",2,9040,0.2511
"rate4_1a_code",3,8752,0.2431
"rate4_1a_code",4,8880,0.2467
"rate4_1b_code",1,8880,0.2467
"rate4_1b_code",2,8736,0.2427
"rate4_1b_code",3,9040,0.2511
"rate4_1b_code",4,9344,0.2596
"rate4_2a_code",1,8880,0.2467
"rate4_2a_code",2,8656,0.2404
"rate4_2a_code",3,9392,0.2609
"rate4_2a_code",4,9072,0.252
"rate4_2b_code",1,9104,0.2529
"rate4_2b_code",2,8944,0.2484
"rate4_2b_code",3,9104,0.2529
"rate4_2b_code",4,8848,0.2458
"rate4_3a_code",1,9232,0.2564
"rate4_3a_code",2,8400,0.2333
"rate4_3a_code",3,9056,0.2516
"rate4_3a_code",4,9312,0.2587
"rate4_3b_code",1,9200,0.2556
"rate4_3b_code",2,8672,0.2409
"rate4_3b_code",3,8864,0.2462
"rate4_3b_code",4,9264,0.2573
"rate4_4a_code",1,8928,0.248
"rate4_4a_code",2,8960,0.2489
"rate4_4a_code",3,8928,0.248
"rate4_4a_code",4,9184,0.2551
"rate4_4b_code",1,9312,0.2587
"rate4_4b_code",2,8784,0.244
"rate4_4b_code",3,9136,0.2538
"rate4_4b_code",4,8768,0.2436
"rate4_5a_code",1,8704,0.2418
"rate4_5a_code",2,8976,0.2493
"rate4_5a_code",3,9424,0.2618
"rate4_5a_code",4,8896,0.2471
"rate4_5b_code",1,9024,0.2507
"rate4_5b_code",2,8560,0.2378
"rate4_5b_code",3,8992,0.2498
"rate4_5b_code",4,9424,0.2618
"rate4_6a_code",1,9312,0.2587
"rate4_6a_code",2,8960,0.2489
"rate4_6a_code",3,8752,0.2431
"rate4_6a_code",4,8976,0.2493
"rate4_6b_code",1,8624,0.2396
"rate4_6b_code",2,9760,0.2711
"rate4_6b_code",3,8432,0.2342
"rate4_6b_code",4,9184,0.2551
"rate4_7a_code",1,8976,0.2493
"rate4_7a_code",2,9280,0.2578
"rate4_7a_code",3,8512,0.2364
"rate4_7a_code",4,9232,0.2564
"rate4_7b_code",1,9072,0.252
"rate4_7b_code",2,9024,0.2507
"rate4_7b_code",3,8752,0.2431
"rate4_7b_code",4,9152,0.2542
"rate4_8a_code",1,9216,0.256
"rate4_8a_code",2,9536,0.2649
"rate4_8a_code",3,8816,0.2449
"rate4_8a_code",4,8432,0.2342
"rate4_8b_code",1,9104,0.2529
"rate4_8b_code",2,9024,0.2507
"rate4_8b_code",3,9040,0.2511
"rate4_8b_code",4,8832,0.2453
"rate5_1a_code",1,7312,0.2031
"rate5_1a_code",2,6928,0.1924
"rate5_1a_code",3,7856,0.2182
"rate5_1a_code",4,7072,0.1964
"rate5_1a_code",5,6832,0.1898
"rate5_1b_code",1,6896,0.1916
"rate5_1b_code",2,7264,0.2018
"rate5_1b_code",3,7392,0.2053
"rate5_1b_code",4,7200,0.2
"rate5_1b_code",5,7248,0.2013
"rate5_2a_code",1,7136,0.1982
"rate5_2a_code",2,7184,0.1996
"rate5_2a_code",3,6896,0.1916
"rate5_2a_code",4,7824,0.2173
"rate5_2a_code",5,6960,0.1933
"rate5_2b_code",1,7264,0.2018
"rate5_2b_code",2,7488,0.208
"rate5_2b_code",3,6864,0.1907
"rate5_2b_code",4,6976,0.1938
"rate5_2b_code",5,7408,0.2058
"rate5_3a_code",1,7568,0.2102
"rate5_3a_code",2,6768,0.188
"rate5_3a_code",3,7536,0.2093
"rate5_3a_code",4,6992,0.1942
"rate5_3a_code",5,7136,0.1982
"rate5_3b_code",1,7376,0.2049
"rate5_3b_code",2,6960,0.1933
"rate5_3b_code",3,7808,0.2169
"rate5_3b_code",4,6352,0.1764
"rate5_3b_code",5,7504,0.2084
"rate5_4a_code",1,7024,0.1951
"rate5_4a_code",2,6960,0.1933
"rate5_4a_code",3,7104,0.1973
"rate5_4a_code",4,7696,0.2138
"rate5_4a_code",5,7216,0.2004
"rate5_4b_code",1,6848,0.1902
"rate5_4b_code",2,7472,0.2076
"rate5_4b_code",3,7200,0.2
"rate5_4b_code",4,7680,0.2133
"rate5_4b_code",5,6800,0.1889
"rate5_5a_code",1,7472,0.2076
"rate5_5a_code",2,6880,0.1911
"rate5_5a_code",3,7056,0.196
"rate5_5a_code",4,7824,0.2173
"rate5_5a_code",5,6768,0.188
"rate5_5b_code",1,7056,0.196
"rate5_5b_code",2,7280,0.2022
"rate5_5b_code",3,7152,0.1987
"rate5_5b_code",4,7328,0.2036
"rate5_5b_code",5,7184,0.1996
"rate5_6a_code",1,6944,0.1929
"rate5_6a_code",2,7344,0.204
"rate5_6a_code",3,6624,0.184
"rate5_6a_code",4,7536,0.2093
"rate5_6a_code",5,7552,0.2098
"rate5_6b_code",1,7184,0.1996
"rate5_6b_code",2,7344,0.204
"rate5_6b_code",3,7424,0.2062
"rate5_6b_code",4,6976,0.1938
"rate5_6b_code",5,7072,0.1964
"rate5_7a_code",1,7712,0.2142
"rate5_7a_code",2,6336,0.176
"rate5_7a_code",3,7456,0.2071
"rate5_7a_code",4,7216,0.2004
"rate5_7a_code",5,7280,0.2022
"rate5_7b_code",1,7184,0.1996
"rate5_7b_code",2,7456,0.2071
"rate5_7b_code",3,7184,0.1996
"rate5_7b_code",4,7152,0.1987
"rate5_7b_code",5,7024,0.1951
"rate5_8a_code",1,7392,0.2053
"rate5_8a_code",2,7008,0.1947
"rate5_8a_code",3,6576,0.1827
"rate5_8a_code",4,7136,0.1982
"rate5_8a_code",5,7888,0.2191
"rate5_8b_code",1,7248,0.2013
"rate5_8b_code",2,7056,0.196
"rate5_8b_code",3,7584,0.2107
"rate5_8b_code",4,7264,0.2018
"rate5_8b_code",5,6848,0.1902
"rate6_1a_code",1,6016,0.1671
"rate6_1a_code",2,6000,0.1667
"rate6_1a_code",3,6048,0.168
"rate6_1a_code",4,6000,0.1667
"rate6_1a_code",5,5984,0.1662
"rate6_1a_code",6,5952,0.1653
"rate6_1b_code",1,6224,0.1729
"rate6_1b_code",2,6016,0.1671
"rate6_1b_code",3,5984,0.1662
"rate6_1b_code",4,6000,0.1667
"rate6_1b_code",5,5808,0.1613
"rate6_1b_code",6,5968,0.1658
"rate6_2a_code",1,6048,0.168
"rate6_2a_code",2,6752,0.1876
"rate6_2a_code",3,5616,0.156
"rate6_2a_code",4,6048,0.168
"rate6_2a_code",5,5600,0.1556
"rate6_2a_code",6,5936,0.1649
"rate6_2b_code",1,5664,0.1573
"rate6_2b_code",2,6048,0.168
"rate6_2b_code",3,6336,0.176
"rate6_2b_code",4,5920,0.1644
"rate6_2b_code",5,5936,0.1649
"rate6_2b_code",6,6096,0.1693
"rate6_3a_code",1,5536,0.1538
"rate6_3a_code",2,6032,0.1676
"rate6_3a_code",3,6224,0.1729
"rate6_3a_code",4,6160,0.1711
"rate6_3a_code",5,6000,0.1667
"rate6_3a_code",6,6048,0.168
"rate6_3b_code",1,5632,0.1564
"rate6_3b_code",2,5968,0.1658
"rate6_3b_code",3,6304,0.1751
"rate6_3b_code",4,5824,0.1618
"rate6_3b_code",5,6432,0.1787
"rate6_3b_code",6,5840,0.1622
"rate6_4a_code",1,6144,0.1707
"rate6_4a_code",2,6272,0.1742
"rate6_4a_code",3,6112,0.1698
"rate6_4a_code",4,5696,0.1582
"rate6_4a_code",5,6208,0.1724
"rate6_4a_code",6,5568,0.1547
"rate6_4b_code",1,5280,0.1467
"rate6_4b_code",2,6208,0.1724
"rate6_4b_code",3,6272,0.1742
"rate6_4b_code",4,6464,0.1796
"rate6_4b_code",5,5680,0.1578
"rate6_4b_code",6,6096,0.1693
"rate6_5a_code",1,6288,0.1747
"rate6_5a_code",2,5888,0.1636
"rate6_5a_code",3,5808,0.1613
"rate6_5a_code",4,6080,0.1689
"rate6_5a_code",5,5936,0.1649
"rate6_5a_code",6,6000,0.1667
"rate6_5b_code",1,5680,0.1578
"rate6_5b_code",2,5776,0.1604
"rate6_5b_code",3,6256,0.1738
"rate6_5b_code",4,6432,0.1787
"rate6_5b_code",5,5984,0.1662
"rate6_5b_code",6,5872,0.1631
"rate6_6a_code",1,6784,0.1884
"rate6_6a_code",2,5840,0.1622
"rate6_6a_code",3,6000,0.1667
"rate6_6a_code",4,5184,0.144
"rate6_6a_code",5,5904,0.164
"rate6_6a_code",6,6288,0.1747
"rate6_6b_code",1,5856,0.1627
"rate6_6b_code",2,5744,0.1596
"rate6_6b_code",3,5808,0.1613
"rate6_6b_code",4,6064,0.1684
"rate6_6b_code",5,6160,0.1711
"rate6_6b_code",6,6368,0.1769
"rate6_7a_code",1,5872,0.1631
"rate6_7a_code",2,6560,0.1822
"rate6_7a_code",3,5664,0.1573
"rate6_7a_code",4,5856,0.1627
"rate6_7a_code",5,6080,0.1689
"rate6_7a_code",6,5968,0.1658
"rate6_7b_code",1,6032,0.1676
"rate6_7b_code",2,6384,0.1773
"rate6_7b_code",3,5920,0.1644
"rate6_7b_code",4,5760,0.16
"rate6_7b_code",5,5888,0.1636
"rate6_7b_code",6,6016,0.1671
"rate6_8a_code",1,6160,0.1711
"rate6_8a_code",2,5744,0.1596
"rate6_8a_code",3,6000,0.1667
"rate6_8a_code",4,6192,0.172
"rate6_8a_code",5,6144,0.1707
"rate6_8a_code",6,5760,0.16
"rate6_8b_code",1,6096,0.1693
"rate6_8b_code",2,5840,0.1622
"rate6_8b_code",3,5696,0.1582
"rate6_8b_code",4,6544,0.1818
"rate6_8b_code",5,6176,0.1716
"rate6_8b_code",6,5648,0.1569
"ideal_rate_num_lt10",0,3392,0.4732
"ideal_rate_num_lt10",5,2064,0.2879
"ideal_rate_num_lt10",10,992,0.1384
"ideal_rate_num_lt10",15,432,0.0603
"ideal_rate_num_lt10",20,144,0.0201
"ideal_rate_num_lt10",25,16,0.0022
"ideal_rate_num_lt10",30,48,0.0067
"ideal_rate_num_lt10",35,48,0.0067
"ideal_rate_num_lt10",40,16,0.0022
"ideal_rate_num_lt10",70,16,0.0022
"ideal_rate_num_35_85",0,208,0.0295
"ideal_rate_num_35_85",5,880,0.125
"ideal_rate_num_35_85",10,1360,0.1932
"ideal_rate_num_35_85",15,2256,0.3205
"ideal_rate_num_35_85",20,1168,0.1659
"ideal_rate_num_35_85",25,544,0.0773
"ideal_rate_num_35_85",30,336,0.0477
"ideal_rate_num_35_85",35,80,0.0114
"ideal_rate_num_35_85",40,96,0.0136
"ideal_rate_num_35_85",60,16,0.0023
"ideal_rate_num_35_85",70,32,0.0045
"ideal_rate_num_35_85",80,64,0.0091
"cj_rate1_0pc",0,27062,0.7517
"cj_rate1_0pc",1,8938,0.2483
"cj_rate1_5pc",0,26958,0.7488
"cj_rate1_5pc",1,9042,0.2512
"cj_rate1_15pc",0,27009,0.7502
"cj_rate1_15pc",1,8991,0.2498
"cj_rate1_25pc",0,26971,0.7492
"cj_rate1_25pc",1,9029,0.2508
"cj_rate2_5pc",0,27009,0.7502
"cj_rate2_5pc",1,8991,0.2498
"cj_rate2_15pc",0,26893,0.747
"cj_rate2_15pc",1,9107,0.253
"cj_rate2_25pc",0,27062,0.7517
"cj_rate2_25pc",1,8938,0.2483
"cj_rate2_35pc",0,27036,0.751
"cj_rate2_35pc",1,8964,0.249
"cj_rate3_5pc",0,26956,0.7488
"cj_rate3_5pc",1,9044,0.2512
"cj_rate3_15pc",0,26906,0.7474
"cj_rate3_15pc",1,9094,0.2526
"cj_rate3_25pc",0,26990,0.7497
"cj_rate3_25pc",1,9010,0.2503
"cj_rate3_35pc",0,27148,0.7541
"cj_rate3_35pc",1,8852,0.2459
"cj_rate4_5pc",0,26944,0.7484
"cj_rate4_5pc",1,9056,0.2516
"cj_rate4_15pc",0,27043,0.7512
"cj_rate4_15pc",1,8957,0.2488
"cj_rate4_25pc",0,27063,0.7518
"cj_rate4_25pc",1,8937,0.2482
"cj_rate4_35pc",0,26950,0.7486
"cj_rate4_35pc",1,9050,0.2514
"cj_rate5_5pc",0,28774,0.7993
"cj_rate5_5pc",1,7226,0.2007
"cj_rate5_15pc",0,28892,0.8026
"cj_rate5_15pc",1,7108,0.1974
"cj_rate5_25pc",0,28768,0.7991
"cj_rate5_25pc",1,7232,0.2009
"cj_rate5_35pc",0,28736,0.7982
"cj_rate5_35pc",1,7264,0.2018
"cj_rate5_45pc",0,28830,0.8008
"cj_rate5_45pc",1,7170,0.1992
"cj_rate6_5pc",0,30043,0.8345
"cj_rate6_5pc",1,5957,0.1655
"cj_rate6_15pc",0,29933,0.8315
"cj_rate6_15pc",1,6067,0.1685
"cj_rate6_25pc",0,29997,0.8332
"cj_rate6_25pc",1,6003,0.1668
"cj_rate6_35pc",0,29986,0.8329
"cj_rate6_35pc",1,6014,0.1671
"cj_rate6_45pc",0,30005,0.8335
"cj_rate6_45pc",1,5995,0.1665
"cj_rate6_55pc",0,30036,0.8343
"cj_rate6_55pc",1,5964,0.1657
"rate_L10",0,8938,0.2483
"rate_L10",5,9042,0.2512
"rate_L10",15,8991,0.2498
"rate_L10",25,9029,0.2508
"rate_10_35",5,8991,0.2498
"rate_10_35",15,9107,0.253
"rate_10_35",25,8938,0.2483
"rate_10_35",35,8964,0.249
"rate_35_85",5,9044,0.2512
"rate_35_85",15,9094,0.2526
"rate_35_85",25,9010,0.2503
"rate_35_85",35,8852,0.2459
"rate_85_175",5,9056,0.2516
"rate_85_175",15,8957,0.2488
"rate_85_175",25,8937,0.2482
"rate_85_175",35,9050,0.2514
"rate_175_375",5,14396,0.3999
"rate_175_375",15,7108,0.1974
"rate_175_375",25,7232,0.2009
"rate_175_375",35,7264,0.2018
"rate_375P",5,5957,0.1655
"rate_375P",15,6067,0.1685
"rate_375P",25,6003,0.1668
"rate_375P",35,6014,0.1671
"rate_375P",45,5995,0.1665
"rate_375P",55,5964,0.1657
"taxrate1",1,8938,0.2483
"taxrate1",2,9042,0.2512
"taxrate1",3,8991,0.2498
"taxrate1",4,9029,0.2508
"taxrate2",1,8991,0.2498
"taxrate2",2,9107,0.253
"taxrate2",3,8938,0.2483
"taxrate2",4,8964,0.249
"taxrate3",1,9044,0.2512
"taxrate3",2,9094,0.2526
"taxrate3",3,9010,0.2503
"taxrate3",4,8852,0.2459
"taxrate4",1,9056,0.2516
"taxrate4",2,8957,0.2488
"taxrate4",3,8937,0.2482
"taxrate4",4,9050,0.2514
"taxrate5",1,7226,0.2007
"taxrate5",2,7108,0.1974
"taxrate5",3,7232,0.2009
"taxrate5",4,7264,0.2018
"taxrate5",5,7170,0.1992
"taxrate6",1,5957,0.1655
"taxrate6",2,6067,0.1685
"taxrate6",3,6003,0.1668
"taxrate6",4,6014,0.1671
"taxrate6",5,5995,0.1665
"taxrate6",6,5964,0.1657
